	SPY	Stock Price	Cash	Portfolio Value
2013-10-18	100	164.971262	2915.5831	19412.7093
2013-10-21	100	164.980717	2915.5831	19413.6548
2013-10-22	0	165.936177	19509.2008	19509.2008
2013-10-23	100	165.141548	2995.046	19509.2008
2013-10-24	100	165.69021	2995.046	19564.067
2013-10-25	0	166.447005	19639.7465	19639.7465
2013-10-28	0	166.711881	19639.7465	19639.7465
2013-10-29	-100	167.601115	36399.858	19639.7465
2013-10-30	-100	166.768638	36399.858	19722.9942
2013-10-31	-100	166.295643	36399.858	19770.2937
2013-11-01	0	166.692972	19730.5608	19730.5608
2013-11-04	0	167.279481	19730.5608	19730.5608
2013-11-05	-100	166.749729	36405.5337	19730.5608
2013-11-06	-100	167.601115	36405.5337	19645.4222
2013-11-07	0	165.482091	19857.3246	19857.3246
2013-11-08	100	167.714629	3085.8617	19857.3246
2013-11-11	100	167.743022	3085.8617	19860.1639
2013-11-12	100	167.402465	3085.8617	19826.1082
2013-11-13	0	168.745769	19960.4386	19960.4386
2013-11-14	100	169.5877	3001.6686	19960.4386
2013-11-15	0	170.325571	20034.2257	20034.2257
2013-11-18	0	169.729593	20034.2257	20034.2257
2013-11-19	-100	169.360657	36970.2914	20034.2257
2013-11-20	0	168.830905	20087.2009	20087.2009
2013-11-21	100	170.193133	3067.8876	20087.2009
2013-11-22	100	171.044519	3067.8876	20172.3395
2013-11-25	0	170.874248	20155.3124	20155.3124
2013-11-26	100	170.921536	3063.1588	20155.3124
2013-11-27	100	171.337774	3063.1588	20196.9362
2013-11-29	0	171.224259	20185.5847	20185.5847
2013-12-02	0	170.779643	20185.5847	20185.5847
2013-12-03	-100	170.041771	37189.7618	20185.5847
2013-12-04	0	170.022848	20187.477	20187.477
2013-12-05	100	169.275522	3259.9248	20187.477
2013-12-06	100	171.167502	3259.9248	20376.675
2013-12-09	100	171.60265	3259.9248	20420.1898
2013-12-10	0	170.987762	20358.701	20358.701
2013-12-11	0	169.067403	20358.701	20358.701
2013-12-12	100	168.509272	3507.7738	20358.701
2013-12-13	100	168.490348	3507.7738	20356.8086
2013-12-16	100	169.540398	3507.7738	20461.8136
2013-12-17	100	169.001176	3507.7738	20407.8914
2013-12-18	100	171.88645	3507.7738	20696.4188
2013-12-19	100	171.6878	3507.7738	20676.5538
2013-12-20	100	172.686474	3507.7738	20776.4212
2013-12-23	0	173.609067	20868.6805	20868.6805
2013-12-24	0	173.989512	20868.6805	20868.6805
2013-12-26	0	174.874067	20868.6805	20868.6805
2013-12-27	0	174.864561	20868.6805	20868.6805
2013-12-30	0	174.836028	20868.6805	20868.6805
2013-12-31	0	175.663503	20868.6805	20868.6805
2014-01-02	0	173.980006	20868.6805	20868.6805
2014-01-03	-100	173.951473	38263.8278	20868.6805
2014-01-06	-100	173.447378	38263.8278	20919.09
2014-01-07	-100	174.512634	38263.8278	20812.5644
2014-01-08	-100	174.550688	38263.8278	20808.759
2014-01-09	0	174.664818	20797.346	20797.346
2014-01-10	-100	175.140381	38311.3841	20797.346
2014-01-13	0	172.810125	21030.3716	21030.3716
2014-01-14	0	174.693351	21030.3716	21030.3716
2014-01-15	-100	175.634971	38593.8687	21030.3716
2014-01-16	-100	175.406695	38593.8687	21053.1992
2014-01-17	-100	174.664818	38593.8687	21127.3869
2014-01-21	0	175.17842	21076.0267	21076.0267
2014-01-22	-100	175.292565	38605.2832	21076.0267
2014-01-23	0	173.856355	21219.6477	21219.6477
2014-01-24	0	170.146969	21219.6477	21219.6477
2014-01-27	100	169.309973	4288.6504	21219.6477
2014-01-28	100	170.318179	4288.6504	21320.4683
2014-01-29	100	168.682241	4288.6504	21156.8745
2014-01-30	0	170.470348	21335.6852	21335.6852
2014-01-31	0	169.471663	21335.6852	21335.6852
2014-02-03	0	165.657652	21335.6852	21335.6852
2014-02-04	100	166.818027	4653.8825	21335.6852
2014-02-05	100	166.608778	4653.8825	21314.7603
2014-02-06	0	168.805877	21534.4702	21534.4702
2014-02-07	0	170.898352	21534.4702	21534.4702
2014-02-10	100	171.212225	4413.2477	21534.4702
2014-02-11	100	173.085945	4413.2477	21721.8422
2014-02-12	0	173.171557	21730.4034	21730.4034
2014-02-13	100	174.065604	4323.843	21730.4034
2014-02-14	100	175.026251	4323.843	21826.4681
2014-02-18	100	175.2355	4323.843	21847.393
2014-02-19	100	174.075124	4323.843	21731.3554
2014-02-20	100	175.102343	4323.843	21834.0773
2014-02-21	100	174.9026	4323.843	21814.103
2014-02-24	0	175.872752	21911.1182	21911.1182
2014-02-25	100	175.806167	4330.5015	21911.1182
2014-02-26	0	175.815687	21912.0702	21912.0702
2014-02-27	0	176.738281	21912.0702	21912.0702
2014-02-28	0	177.185297	21912.0702	21912.0702
2014-03-03	0	175.939324	21912.0702	21912.0702
2014-03-04	100	178.412258	4070.8444	21912.0702
2014-03-05	100	178.573947	4070.8444	21928.2391
2014-03-06	0	178.982925	21969.1369	21969.1369
2014-03-07	100	179.059017	4063.2352	21969.1369
2014-03-10	0	178.963913	21959.6265	21959.6265
2014-03-11	0	178.079358	21959.6265	21959.6265
2014-03-12	0	178.126917	21959.6265	21959.6265
2014-03-13	100	176.129546	4346.6719	21959.6265
2014-03-14	0	175.634971	21910.169	21910.169
2014-03-17	-100	177.22335	39632.504	21910.169
2014-03-18	-100	178.48835	39632.504	21783.669
2014-03-19	-100	177.537223	39632.504	21878.7817
2014-03-20	-100	178.573947	39632.504	21775.1093
2014-03-21	0	177.881325	21844.3715	21844.3715
2014-03-24	100	177.145721	4129.7994	21844.3715
2014-03-25	100	177.986411	4129.7994	21928.4405
2014-03-26	100	176.70628	4129.7994	21800.4274
2014-03-27	100	176.333705	4129.7994	21763.1699
2014-03-28	100	177.203053	4129.7994	21850.1047
2014-03-31	100	178.655135	4129.7994	21995.3129
2014-04-01	100	179.839742	4129.7994	22113.7736
2014-04-02	100	180.441601	4129.7994	22173.9595
2014-04-03	0	180.20277	22150.0764	22150.0764
2014-04-04	100	178.072387	4342.8377	22150.0764
2014-04-07	100	176.104422	4342.8377	21953.2799
2014-04-08	100	176.830477	4342.8377	22025.8854
2014-04-09	100	178.731563	4342.8377	22215.994
2014-04-10	0	174.977146	21840.5523	21840.5523
2014-04-11	0	173.400853	21840.5523	21840.5523
2014-04-14	100	174.766974	4363.8549	21840.5523
2014-04-15	100	175.970677	4363.8549	21960.9226
2014-04-16	0	177.81446	22145.3009	22145.3009
