	AAPL	Stock Price	Cash	Portfolio Value
2013-05-30	-100	60.330318	15836.8385	9803.8067
2013-05-31	0	60.083164	9828.5221	9828.5221
2013-06-03	-100	60.215424	15850.0645	9828.5221
2013-06-04	-100	60.027048	15850.0645	9847.3597
2013-06-05	-100	59.465937	15850.0645	9903.4708
2013-06-06	-100	58.577507	15850.0645	9992.3138
2013-06-07	-100	59.025063	15850.0645	9947.5582
2013-06-10	0	58.634954	9986.5691	9986.5691
2013-06-11	-100	58.462614	15832.8305	9986.5691
2013-06-12	-100	57.739846	15832.8305	10058.8459
2013-06-13	-100	58.243511	15832.8305	10008.4794
2013-06-14	0	57.453947	10087.4358	10087.4358
2013-06-17	-100	57.714464	15858.8822	10087.4358
2013-06-18	-100	57.683734	15858.8822	10090.5088
2013-06-19	-100	56.512077	15858.8822	10207.6745
2013-06-20	-100	55.689114	15858.8822	10289.9708
2013-06-21	-100	55.242896	15858.8822	10334.5926
2013-06-24	-100	53.778657	15858.8822	10481.0165
2013-06-25	-100	53.79068	15858.8822	10479.8142
2013-06-26	-100	53.181472	15858.8822	10540.735
2013-06-27	-100	52.608334	15858.8822	10598.0488
2013-06-28	-100	52.975733	15858.8822	10561.3089
2013-07-01	-100	54.671093	15858.8822	10391.7729
2013-07-02	-100	55.909551	15858.8822	10267.9271
2013-07-03	-100	56.218161	15858.8822	10237.0661
2013-07-05	-100	55.766599	15858.8822	10282.2223
2013-07-08	0	55.449973	10313.8849	10313.8849
2013-07-09	-100	56.425238	15956.4087	10313.8849
2013-07-10	0	56.208811	10335.5276	10335.5276
2013-07-11	-100	57.085214	16044.049	10335.5276
2013-07-12	0	56.981008	10345.9482	10345.9482
2013-07-15	0	57.105256	10345.9482	10345.9482
2013-07-16	100	57.473985	4598.5497	10345.9482
2013-07-17	0	57.488683	10347.418	10347.418
2013-07-18	0	57.6824	10347.418	10347.418
2013-07-19	0	56.772594	10347.418	10347.418
2013-07-22	100	56.954288	4651.9892	10347.418
2013-07-23	100	55.976348	4651.9892	10249.624
2013-07-24	100	58.851385	4651.9892	10537.1277
2013-07-25	100	58.582851	4651.9892	10510.2743
2013-07-26	100	58.915513	4651.9892	10543.5405
2013-07-29	0	59.823981	10634.3873	10634.3873
2013-07-30	0	60.56278	10634.3873	10634.3873
2013-07-31	100	60.457234	4588.6639	10634.3873
2013-08-01	0	61.011667	10689.8306	10689.8306
2013-08-02	0	61.794553	10689.8306	10689.8306
2013-08-05	0	62.717719	10689.8306	10689.8306
2013-08-06	100	62.156607	4474.1699	10689.8306
2013-08-07	100	62.120533	4474.1699	10686.2232
2013-08-08	0	61.996811	10673.851	10673.851
2013-08-09	100	61.114614	4562.3896	10673.851
2013-08-12	100	62.850762	4562.3896	10847.4658
2013-08-13	100	65.837566	4562.3896	11146.1462
2013-08-14	100	67.03848	4562.3896	11266.2376
2013-08-15	100	66.959133	4562.3896	11258.3029
2013-08-16	100	67.553539	4562.3896	11317.7435
2013-08-19	0	68.281079	11390.4975	11390.4975
2013-08-20	100	67.384094	4652.0881	11390.4975
2013-08-21	100	67.557576	4652.0881	11407.8457
2013-08-22	100	67.638259	4652.0881	11415.914
2013-08-23	100	67.377371	4652.0881	11389.8252
2013-08-26	0	67.639609	11416.049	11416.049
2013-08-27	100	65.705776	4845.4714	11416.049
2013-08-28	100	66.016427	4845.4714	11447.1141
2013-08-29	0	66.124014	11457.8728	11457.8728
2013-08-30	100	65.521543	4905.7185	11457.8728
2013-09-03	100	65.704433	4905.7185	11476.1618
2013-09-04	0	67.064034	11612.1219	11612.1219
2013-09-05	0	66.604104	11612.1219	11612.1219
2013-09-06	0	67.000825	11612.1219	11612.1219
2013-09-09	-100	68.069942	18419.1161	11612.1219
2013-09-10	-100	66.519385	18419.1161	11767.1776
2013-09-11	-100	62.897826	18419.1161	12129.3335
2013-09-12	-100	63.567543	18419.1161	12062.3618
2013-09-13	0	62.519936	12167.1225	12167.1225
2013-09-16	100	60.532317	6113.8908	12167.1225
2013-09-17	100	61.231617	6113.8908	12237.0525
