	IBM	Stock Price	Cash	Portfolio Value
2013-08-28	0	166.507398	25632.4128	25632.4128
2013-08-29	0	166.946149	25632.4128	25632.4128
2013-08-30	-100	166.607947	42293.2075	25632.4128
2013-09-03	-100	168.152731	42293.2075	25477.9344
2013-09-04	-100	167.394049	42293.2075	25553.8026
2013-09-05	0	168.326393	25460.5682	25460.5682
2013-09-06	100	167.302636	8730.3046	25460.5682
2013-09-09	0	169.085075	25638.8121	25638.8121
2013-09-10	0	170.565881	25638.8121	25638.8121
2013-09-11	100	174.313569	8207.4552	25638.8121
2013-09-12	0	174.34099	25641.5542	25641.5542
2013-09-13	100	175.657256	8075.8286	25641.5542
2013-09-16	0	176.553043	25731.1329	25731.1329
2013-09-17	0	175.64812	25731.1329	25731.1329
2013-09-18	-100	177.713918	43502.5247	25731.1329
2013-09-19	-100	176.772425	43502.5247	25825.2822
2013-09-20	-100	173.692006	43502.5247	26133.3241
2013-09-23	0	174.578657	26044.659	26044.659
2013-09-24	0	173.6463	26044.659	26044.659
2013-09-25	-100	173.189264	43363.5854	26044.659
2013-09-26	0	173.874818	25976.1036	25976.1036
2013-09-27	0	170.858377	25976.1036	25976.1036
2013-09-30	0	169.267886	25976.1036	25976.1036
2013-10-01	0	170.364784	25976.1036	25976.1036
2013-10-02	-100	169.066803	42882.7839	25976.1036
2013-10-03	-100	168.061318	42882.7839	26076.6521
2013-10-04	-100	168.2807	42882.7839	26054.7139
2013-10-07	-100	166.370279	42882.7839	26245.756
2013-10-08	-100	163.362987	42882.7839	26546.4852
2013-10-09	-100	165.739581	42882.7839	26308.8258
2013-10-10	-100	168.893127	42882.7839	25993.4712
2013-10-11	0	170.163687	25866.4152	25866.4152
2013-10-14	-100	170.904083	42956.8235	25866.4152
2013-10-15	-100	168.792579	42956.8235	26077.5656
2013-10-16	-100	170.684701	42956.8235	25888.3534
2013-10-17	0	159.807247	26976.0988	26976.0988
2013-10-18	100	158.847469	11091.3519	26976.0988
2013-10-21	0	158.006524	26892.0043	26892.0043
2013-10-22	100	159.935217	10898.4826	26892.0043
2013-10-23	100	160.666477	10898.4826	26965.1303
2013-10-24	100	162.522043	10898.4826	27150.6869
2013-10-25	100	161.653677	10898.4826	27063.8503
2013-10-28	100	162.110713	10898.4826	27109.5539
2013-10-29	100	166.470827	10898.4826	27545.5653
2013-10-30	0	164.670104	27365.493	27365.493
2013-10-31	-100	163.810888	43746.5818	27365.493
2013-11-01	0	163.829159	27363.6659	27363.6659
2013-11-04	0	164.779802	27363.6659	27363.6659
2013-11-05	0	162.567749	27363.6659	27363.6659
2013-11-06	-100	164.67221	43830.8869	27363.6659
2013-11-07	-100	165.416583	43830.8869	27289.2286
2013-11-08	0	165.407398	27290.1471	27290.1471
2013-11-11	0	168.063253	27290.1471	27290.1471
2013-11-12	0	168.237861	27290.1471	27290.1471
2013-11-13	0	168.678968	27290.1471	27290.1471
2013-11-14	0	167.447537	27290.1471	27290.1471
2013-11-15	0	168.348135	27290.1471	27290.1471
2013-11-18	0	169.524429	27290.1471	27290.1471
2013-11-19	-100	170.241233	44314.2704	27290.1471
2013-11-20	-100	170.186097	44314.2704	27295.6607
2013-11-21	0	169.211979	27393.0725	27393.0725
2013-11-22	-100	166.611261	44054.1986	27393.0725
2013-11-25	-100	164.442465	44054.1986	27609.9521
2013-11-26	-100	162.944522	44054.1986	27759.7464
2013-11-27	0	164.470033	27607.1953	27607.1953
2013-11-29	-100	165.122502	44119.4455	27607.1953
2013-12-02	0	163.100747	27809.3708	27809.3708
2013-12-03	0	161.814179	27809.3708	27809.3708
2013-12-04	100	161.501729	11659.1979	27809.3708
2013-12-05	100	161.814179	11659.1979	27840.6158
2013-12-06	0	163.275355	27986.7334	27986.7334
2013-12-09	0	163.082377	27986.7334	27986.7334
2013-12-10	0	162.769913	27986.7334	27986.7334
2013-12-11	-100	161.005471	44087.2805	27986.7334
2013-12-12	0	159.323734	28154.9071	28154.9071
2013-12-13	100	158.799922	12274.9149	28154.9071
2013-12-16	100	163.440779	12274.9149	28618.9928
2013-12-17	100	161.520098	12274.9149	28426.9247
2013-12-18	100	164.221905	12274.9149	28697.1054
2013-12-19	100	165.61876	12274.9149	28836.7909
2013-12-20	100	165.434966	12274.9149	28818.4115
2013-12-23	100	167.465907	12274.9149	29021.5056
2013-12-24	100	168.375703	12274.9149	29112.4852
2013-12-26	100	170.333137	12274.9149	29308.2286
2013-12-27	100	170.085008	12274.9149	29283.4157
2013-12-30	100	171.307254	12274.9149	29405.6403
2013-12-31	0	172.373276	29512.2425	29512.2425
2014-01-02	100	170.498547	12462.3878	29512.2425
2014-01-03	100	171.518616	12462.3878	29614.2494
2014-01-06	100	170.930469	12462.3878	29555.4347
2014-01-07	100	174.339895	12462.3878	29896.3773
2014-01-08	0	172.740863	29736.4741	29736.4741
2014-01-09	0	172.198667	29736.4741	29736.4741
2014-01-10	0	172.08838	29736.4741	29736.4741
2014-01-13	0	169.239547	29736.4741	29736.4741
2014-01-14	0	170.856949	29736.4741	29736.4741
2014-01-15	0	172.529501	29736.4741	29736.4741
2014-01-16	-100	173.466851	47083.1592	29736.4741
2014-01-17	-100	174.689098	47083.1592	29614.2494
2014-01-21	-100	173.163586	47083.1592	29766.8006
2014-01-22	0	167.48429	30334.7302	30334.7302
2014-01-23	-100	167.925397	47127.2699	30334.7302
2014-01-24	-100	165.085749	47127.2699	30618.695
2014-01-27	-100	163.486717	47127.2699	30778.5982
2014-01-28	-100	162.521798	47127.2699	30875.0901
2014-01-29	-100	162.108246	47127.2699	30916.4453
2014-01-30	-100	162.990474	47127.2699	30828.2225
2014-01-31	0	162.365559	30890.714	30890.714
2014-02-03	0	158.891812	30890.714	30890.714
2014-02-04	-100	158.836675	46774.3815	30890.714
2014-02-05	0	160.123257	30762.0558	30762.0558
2014-02-06	0	161.398404	30762.0558	30762.0558
2014-02-07	100	163.782375	14383.8183	30762.0558
2014-02-10	100	163.680732	14383.8183	30751.8915
