	GOOG	Stock Price	Cash	Portfolio Value
2013-07-05	0	446.299475	46880.2072	46880.2072
2013-07-08	100	452.09367	1670.8402	46880.2072
2013-07-09	100	452.168613	1670.8402	46887.7015
2013-07-10	100	452.543235	1670.8402	46925.1637
2013-07-11	0	459.661125	47636.9527	47636.9527
2013-07-12	0	461.039749	47636.9527	47636.9527
2013-07-15	-100	461.88392	93825.3447	47636.9527
2013-07-16	-100	459.34645	93825.3447	47890.6997
2013-07-17	0	458.816985	47943.6462	47943.6462
2013-07-18	0	454.885896	47943.6462	47943.6462
2013-07-19	0	447.852926	47943.6462	47943.6462
2013-07-22	-100	454.895872	93433.2334	47943.6462
2013-07-23	-100	451.449326	93433.2334	48288.3008
2013-07-24	-100	450.999761	93433.2334	48333.2573
2013-07-25	-100	443.407366	93433.2334	49092.4968
2013-07-26	-100	442.233526	93433.2334	49209.8808
2013-07-29	0	440.695071	49363.7263	49363.7263
2013-07-30	0	445.015746	49363.7263	49363.7263
2013-07-31	0	443.432337	49363.7263	49363.7263
2013-08-01	0	451.65913	49363.7263	49363.7263
2013-08-02	0	452.832939	49363.7263	49363.7263
2013-08-05	0	452.048716	49363.7263	49363.7263
2013-08-06	-100	447.837931	94147.5194	49363.7263
2013-08-07	-100	444.880885	94147.5194	49659.4309
2013-08-08	-100	445.884887	94147.5194	49559.0307
2013-08-09	0	444.760989	49671.4205	49671.4205
2013-08-12	0	442.313457	49671.4205	49671.4205
2013-08-13	-100	440.185557	93689.9762	49671.4205
2013-08-14	0	434.471263	50242.8499	50242.8499
2013-08-15	100	429.401342	7302.7157	50242.8499
2013-08-16	100	428.027706	7302.7157	50105.4863
2013-08-19	100	432.393335	7302.7157	50542.0492
2013-08-20	100	432.278457	7302.7157	50530.5614
2013-08-21	100	434.231501	7302.7157	50725.8658
2013-08-22	0	436.419318	50944.6475	50944.6475
2013-08-23	-100	434.67109	94411.7565	50944.6475
2013-08-26	-100	432.762969	94411.7565	51135.4596
2013-08-27	-100	424.651084	94411.7565	51946.6481
2013-08-28	0	423.851867	52026.5698	52026.5698
2013-08-29	-100	427.288437	94755.4135	52026.5698
2013-08-30	0	423.02771	52452.6425	52452.6425
2013-09-03	100	429.76097	9476.5455	52452.6425
2013-09-04	100	435.38037	9476.5455	53014.5825
2013-09-05	100	439.341417	9476.5455	53410.6872
2013-09-06	100	439.351393	9476.5455	53411.6848
2013-09-09	0	443.582192	53834.7647	53834.7647
2013-09-10	100	443.891878	9445.5769	53834.7647
2013-09-11	100	447.64811	9445.5769	54210.3879
2013-09-12	100	446.084684	9445.5769	54054.0453
2013-09-13	0	444.091675	53854.7444	53854.7444
2013-09-16	0	443.437325	53854.7444	53854.7444
2013-09-17	0	442.613137	53854.7444	53854.7444
2013-09-18	100	451.209564	8733.788	53854.7444
2013-09-19	0	448.747038	53608.4918	53608.4918
2013-09-20	0	451.104663	53608.4918	53608.4918
2013-09-23	100	442.807945	9327.6973	53608.4918
2013-09-24	0	442.977783	53625.4756	53625.4756
2013-09-25	0	438.177584	53625.4756	53625.4756
2013-09-26	-100	438.647101	97490.1857	53625.4756
2013-09-27	0	437.758008	53714.3849	53714.3849
2013-09-30	0	437.518246	53714.3849	53714.3849
2013-10-01	-100	443.057714	98020.1563	53714.3849
2013-10-02	-100	443.552202	98020.1563	53664.9361
2013-10-03	-100	437.608153	98020.1563	54259.341
