	CELG	Stock Price	Cash	Portfolio Value
2015-02-27	0	121.529999	21131.5002	21131.5002
2015-03-02	0	120.309998	21131.5002	21131.5002
2015-03-03	100	118.470001	9284.5001	21131.5002
2015-03-04	100	119.57	9284.5001	21241.5001
2015-03-05	0	120.709999	21355.5	21355.5
2015-03-06	0	118.029999	21355.5	21355.5
2015-03-09	100	118.410004	9514.4996	21355.5
2015-03-10	0	118.330002	21347.4998	21347.4998
2015-03-11	0	117.580002	21347.4998	21347.4998
2015-03-12	0	118.82	21347.4998	21347.4998
2015-03-13	0	117.730003	21347.4998	21347.4998
2015-03-16	0	120.839996	21347.4998	21347.4998
2015-03-17	100	121.029999	9244.4999	21347.4998
2015-03-18	0	122.68	21512.4999	21512.4999
2015-03-19	0	125.330002	21512.4999	21512.4999
2015-03-20	-100	128.5	34362.4999	21512.4999
2015-03-23	-100	122.940002	34362.4999	22068.4997
2015-03-24	-100	122.150002	34362.4999	22147.4997
2015-03-25	0	116.989998	22663.5001	22663.5001
2015-03-26	0	117.660004	22663.5001	22663.5001
2015-03-27	0	118.68	22663.5001	22663.5001
2015-03-30	0	120.019997	22663.5001	22663.5001
2015-03-31	0	115.279999	22663.5001	22663.5001
2015-04-01	0	114.57	22663.5001	22663.5001
2015-04-02	0	114.309998	22663.5001	22663.5001
2015-04-06	0	112.970001	22663.5001	22663.5001
2015-04-07	0	112.720001	22663.5001	22663.5001
2015-04-08	0	115.150002	22663.5001	22663.5001
2015-04-09	100	115.580002	11105.4999	22663.5001
2015-04-10	0	117.07	22812.4999	22812.4999
2015-04-13	100	116.440002	11168.4997	22812.4999
2015-04-14	100	115.779999	11168.4997	22746.4996
2015-04-15	0	118.230003	22991.5	22991.5
2015-04-16	-100	116.360001	34627.5001	22991.5
2015-04-17	-100	113.470001	34627.5001	23280.5
2015-04-20	-100	114.75	34627.5001	23152.5001
2015-04-21	-100	114.82	34627.5001	23145.5001
2015-04-22	0	115.540001	23073.5	23073.5
2015-04-23	0	116.089996	23073.5	23073.5
2015-04-24	-100	118.709999	34944.4999	23073.5
2015-04-27	-100	114.720001	34944.4999	23472.4998
2015-04-28	-100	113.519997	34944.4999	23592.5002
2015-04-29	-100	113.199997	34944.4999	23624.5002
2015-04-30	0	108.059998	24138.5001	24138.5001
2015-05-01	100	110.550003	13083.4998	24138.5001
2015-05-04	0	109.900002	24073.5	24073.5
2015-05-05	-100	107.540001	34827.5001	24073.5
2015-05-06	0	108.650002	23962.4999	23962.4999
2015-05-07	0	112.010002	23962.4999	23962.4999
2015-05-08	0	113.209999	23962.4999	23962.4999
2015-05-11	100	113.400002	12622.4997	23962.4999
2015-05-12	100	113.580002	12622.4997	23980.4999
2015-05-13	100	113.400002	12622.4997	23962.4999
2015-05-14	100	115.080002	12622.4997	24130.4999
2015-05-15	100	115.529999	12622.4997	24175.4996
2015-05-18	100	116.370003	12622.4997	24259.5
2015-05-19	100	116.849998	12622.4997	24307.4995
2015-05-20	100	116.860001	12622.4997	24308.4998
2015-05-21	100	116.199997	12622.4997	24242.4994
2015-05-22	0	116.089996	24231.4993	24231.4993
2015-05-26	100	114.459999	12785.4994	24231.4993
2015-05-27	100	116.019997	12785.4994	24387.4991
2015-05-28	0	114.93	24278.4994	24278.4994
2015-05-29	0	114.440002	24278.4994	24278.4994
2015-06-01	-100	114.449997	35723.4991	24278.4994
2015-06-02	-100	113.879997	35723.4991	24335.4994
2015-06-03	0	112.68	24455.4991	24455.4991
2015-06-04	-100	110.919998	35547.4989	24455.4991
2015-06-05	0	110.720001	24475.4988	24475.4988
2015-06-08	100	110.809998	13394.499	24475.4988
2015-06-09	100	110.720001	13394.499	24466.4991
2015-06-10	0	112.059998	24600.4988	24600.4988
2015-06-11	-100	112.970001	35897.4989	24600.4988
2015-06-12	-100	111.32	35897.4989	24765.4989
2015-06-15	0	111.0	24797.4989	24797.4989
2015-06-16	100	111.110001	13686.4988	24797.4989
2015-06-17	0	112.160004	24902.4992	24902.4992
2015-06-18	100	116.919998	13210.4994	24902.4992
2015-06-19	100	117.220001	13210.4994	24932.4995
2015-06-22	100	119.529999	13210.4994	25163.4993
2015-06-23	100	120.339996	13210.4994	25244.499
2015-06-24	0	119.099998	25120.4992	25120.4992
2015-06-25	0	118.809998	25120.4992	25120.4992
2015-06-26	0	117.919998	25120.4992	25120.4992
2015-06-29	0	114.910004	25120.4992	25120.4992
2015-06-30	0	115.739998	25120.4992	25120.4992
2015-07-01	0	118.220001	25120.4992	25120.4992
2015-07-02	-100	119.519997	37072.4989	25120.4992
2015-07-06	0	118.82	25190.4989	25190.4989
2015-07-07	-100	119.279999	37118.4988	25190.4989
2015-07-08	-100	115.910004	37118.4988	25527.4984
2015-07-09	-100	116.870003	37118.4988	25431.4985
2015-07-10	0	118.839996	25234.4992	25234.4992
2015-07-13	100	120.889999	13145.4993	25234.4992
2015-07-14	0	122.849998	25430.4991	25430.4991
2015-07-15	100	131.389999	12291.4992	25430.4991
2015-07-16	0	134.720001	25763.4993	25763.4993
2015-07-17	0	134.520004	25763.4993	25763.4993
2015-07-20	0	135.229996	25763.4993	25763.4993
2015-07-21	0	136.240005	25763.4993	25763.4993
2015-07-22	0	138.259995	25763.4993	25763.4993
2015-07-23	-100	139.009995	39664.4988	25763.4993
2015-07-24	0	134.899994	26174.4994	26174.4994
2015-07-27	0	132.559998	26174.4994	26174.4994
2015-07-28	-100	135.419998	39716.4992	26174.4994
2015-07-29	0	132.139999	26502.4993	26502.4993
2015-07-30	-100	131.880005	39690.4998	26502.4993
2015-07-31	0	131.25	26565.4998	26565.4998
2015-08-03	-100	131.470001	39712.4999	26565.4998
2015-08-04	-100	131.080002	39712.4999	26604.4997
2015-08-05	-100	132.720001	39712.4999	26440.4998
2015-08-06	0	128.050003	26907.4996	26907.4996
2015-08-07	0	128.600006	26907.4996	26907.4996
2015-08-10	-100	131.229996	40030.4992	26907.4996
2015-08-11	-100	130.660004	40030.4992	26964.4988
2015-08-12	-100	131.029999	40030.4992	26927.4993
2015-08-13	-100	130.300003	40030.4992	27000.4989
2015-08-14	0	129.240005	27106.4987	27106.4987
2015-08-17	0	131.210007	27106.4987	27106.4987
2015-08-18	-100	130.199997	40126.4984	27106.4987
2015-08-19	0	129.059998	27220.4986	27220.4986
2015-08-20	0	124.959999	27220.4986	27220.4986
2015-08-21	-100	119.050003	39125.4989	27220.4986
2015-08-24	0	113.379997	27787.4992	27787.4992
2015-08-25	100	112.699997	16517.4995	27787.4992
2015-08-26	0	119.230003	28440.4998	28440.4998
2015-08-27	100	123.040001	16136.4997	28440.4998
2015-08-28	0	124.040001	28540.4998	28540.4998
2015-08-31	0	118.080002	28540.4998	28540.4998
2015-09-01	100	115.459999	16994.4999	28540.4998
2015-09-02	100	119.580002	16994.4999	28952.5001
2015-09-03	100	117.650002	16994.4999	28759.5001
2015-09-04	100	117.389999	16994.4999	28733.4998
2015-09-08	100	123.019997	16994.4999	29296.4996
2015-09-09	100	121.059998	16994.4999	29100.4997
2015-09-10	100	122.970001	16994.4999	29291.5
2015-09-11	0	123.970001	29391.5	29391.5
2015-09-14	-100	122.209999	41612.4999	29391.5
2015-09-15	-100	124.349998	41612.4999	29177.5001
2015-09-16	-100	123.779999	41612.4999	29234.5
2015-09-17	-100	125.730003	41612.4999	29039.4996
2015-09-18	-100	122.620003	41612.4999	29350.4996
2015-09-21	-100	119.139999	41612.4999	29698.5
2015-09-22	-100	117.610001	41612.4999	29851.4998
2015-09-23	-100	117.040001	41612.4999	29908.4998
2015-09-24	-100	113.879997	41612.4999	30224.5002
2015-09-25	-100	108.389999	41612.4999	30773.5
2015-09-28	0	104.790001	31133.4998	31133.4998
2015-09-29	0	105.339996	31133.4998	31133.4998
2015-09-30	0	108.169998	31133.4998	31133.4998
2015-10-01	100	112.860001	19847.4997	31133.4998
2015-10-02	0	116.440002	31491.4999	31491.4999
2015-10-05	0	116.620003	31491.4999	31491.4999
2015-10-06	0	112.190002	31491.4999	31491.4999
2015-10-07	0	116.980003	31491.4999	31491.4999
2015-10-08	-100	117.970001	43288.5	31491.4999
2015-10-09	0	117.379997	31550.5003	31550.5003
2015-10-12	0	117.599998	31550.5003	31550.5003
2015-10-13	0	113.769997	31550.5003	31550.5003
2015-10-14	0	113.730003	31550.5003	31550.5003
2015-10-15	0	117.529999	31550.5003	31550.5003
2015-10-16	100	117.879997	19762.5006	31550.5003
2015-10-19	0	119.410004	31703.501	31703.501
2015-10-20	0	116.239998	31703.501	31703.501
2015-10-21	0	115.919998	31703.501	31703.501
2015-10-22	100	117.260002	19977.5008	31703.501
2015-10-23	100	120.080002	19977.5008	31985.501
2015-10-26	0	123.650002	32342.501	32342.501
2015-10-27	0	125.790001	32342.501	32342.501
2015-10-28	0	127.139999	32342.501	32342.501
2015-10-29	0	124.93	32342.501	32342.501
2015-10-30	0	122.709999	32342.501	32342.501
2015-11-02	-100	127.199997	45062.5007	32342.501
2015-11-03	-100	126.519997	45062.5007	32410.501
2015-11-04	-100	127.169998	45062.5007	32345.5009
2015-11-05	-100	120.459999	45062.5007	33016.5008
2015-11-06	0	116.739998	33388.5009	33388.5009
2015-11-09	0	114.080002	33388.5009	33388.5009
2015-11-10	-100	113.769997	44765.5006	33388.5009
2015-11-11	0	112.209999	33544.5007	33544.5007
2015-11-12	-100	109.019997	44446.5004	33544.5007
2015-11-13	-100	107.489998	44446.5004	33697.5006
2015-11-16	-100	110.139999	44446.5004	33432.5005
2015-11-17	0	111.110001	33335.5003	33335.5003
2015-11-18	0	115.779999	33335.5003	33335.5003
2015-11-19	-100	114.150002	44750.5005	33335.5003
2015-11-20	0	113.510002	33399.5003	33399.5003
2015-11-23	-100	113.599998	44759.5001	33399.5003
2015-11-24	0	112.669998	33492.5003	33492.5003
2015-11-25	0	112.349998	33492.5003	33492.5003
2015-11-27	-100	112.690002	44761.5005	33492.5003
2015-11-30	-100	109.449997	44761.5005	33816.5008
2015-12-01	0	110.559998	33705.5007	33705.5007
2015-12-02	-100	111.43	44848.5007	33705.5007
2015-12-03	-100	106.550003	44848.5007	34193.5004
2015-12-04	-100	110.360001	44848.5007	33812.5006
2015-12-07	0	109.050003	33943.5004	33943.5004
2015-12-08	0	112.050003	33943.5004	33943.5004
2015-12-09	100	110.940002	22849.5002	33943.5004
2015-12-10	0	112.419998	34091.5	34091.5
2015-12-11	0	108.360001	34091.5	34091.5
2015-12-14	0	110.260002	34091.5	34091.5
2015-12-15	0	113.139999	34091.5	34091.5
2015-12-16	-100	115.720001	45663.5001	34091.5
2015-12-17	0	112.169998	34446.5003	34446.5003
2015-12-18	100	110.139999	23432.5004	34446.5003
2015-12-21	100	110.839996	23432.5004	34516.5
2015-12-22	100	111.139999	23432.5004	34546.5003
2015-12-23	0	122.07	35639.5004	35639.5004
2015-12-24	0	122.139999	35639.5004	35639.5004
2015-12-28	100	119.099998	23729.5006	35639.5004
2015-12-29	0	121.269997	35856.5003	35856.5003
2015-12-30	0	120.68	35856.5003	35856.5003
2015-12-31	-100	119.760002	47832.5005	35856.5003
